"scenario","year","trials","biomass","species"
"RCP 4.5",2050,"./mc_output_trial0002",0.5650093,"Siderastrea stellata"
"RCP 8.5",2050,"./mc_output_trial0002",0.4940718,"Siderastrea stellata"
"Status quo",2050,"./mc_output_trial0002",0.2728104,"Zooplankton"
"RCP 2.6",2050,"./mc_output_trial0002",0.2554848,"Zooplankton"
"RCP 4.5",2050,"./mc_output_trial0002",0.2423636,"Zooplankton"
"RCP 8.5",2050,"./mc_output_trial0002",0.2989003,"Zooplankton"
"Status quo",2050,"./mc_output_trial0002",0.1109137,"Phytoplankton"
"RCP 2.6",2050,"./mc_output_trial0002",0.1270158,"Phytoplankton"
"RCP 4.5",2050,"./mc_output_trial0002",0.1119857,"Phytoplankton"
"RCP 8.5",2050,"./mc_output_trial0002",0.1007199,"Phytoplankton"
"Status quo",2050,"./mc_output_trial0002",210.4597,"Digenea simplex"
"RCP 2.6",2050,"./mc_output_trial0002",195.389,"Digenea simplex"
"RCP 4.5",2050,"./mc_output_trial0002",212.1944,"Digenea simplex"
"RCP 8.5",2050,"./mc_output_trial0002",201.871,"Digenea simplex"
"Status quo",2050,"./mc_output_trial0002",811.5015,"Other algal turf"
"RCP 2.6",2050,"./mc_output_trial0002",789.3212,"Other algal turf"
"RCP 4.5",2050,"./mc_output_trial0002",796.3387,"Other algal turf"
"RCP 8.5",2050,"./mc_output_trial0002",756.6077,"Other algal turf"
"Status quo",2050,"./mc_output_trial0003",0.02625787,"Sea birds"
"RCP 2.6",2050,"./mc_output_trial0003",0.04042595,"Sea birds"
"RCP 4.5",2050,"./mc_output_trial0003",0.03035884,"Sea birds"
"RCP 8.5",2050,"./mc_output_trial0003",0.0148907,"Sea birds"
"Status quo",2050,"./mc_output_trial0003",0.08055914,"Turtles"
"RCP 2.6",2050,"./mc_output_trial0003",0.07735671,"Turtles"
"RCP 4.5",2050,"./mc_output_trial0003",0.05587852,"Turtles"
"RCP 8.5",2050,"./mc_output_trial0003",0.06102889,"Turtles"
"Status quo",2050,"./mc_output_trial0003",0.2527508,"Cephalopoda"
"RCP 2.6",2050,"./mc_output_trial0003",0.3493259,"Cephalopoda"
"RCP 4.5",2050,"./mc_output_trial0003",0.07263535,"Cephalopoda"
"RCP 8.5",2050,"./mc_output_trial0003",0.1641189,"Cephalopoda"
"Status quo",2050,"./mc_output_trial0003",2.487534,"Panulirus spp."
"RCP 2.6",2050,"./mc_output_trial0003",2.341821,"Panulirus spp."
"RCP 4.5",2050,"./mc_output_trial0003",1.521512,"Panulirus spp."
"RCP 8.5",2050,"./mc_output_trial0003",0.6777046,"Panulirus spp."
"Status quo",2050,"./mc_output_trial0003",15.0214,"Benthic macroinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0003",14.02783,"Benthic macroinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0003",18.84225,"Benthic macroinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0003",19.82076,"Benthic macroinvertebrates"
"Status quo",2050,"./mc_output_trial0003",22.21048,"Benthic microinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0003",20.4167,"Benthic microinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0003",21.2181,"Benthic microinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0003",25.12749,"Benthic microinvertebrates"
"Status quo",2050,"./mc_output_trial0003",0.7696853,"Siderastrea stellata"
"RCP 2.6",2050,"./mc_output_trial0003",0.5362701,"Siderastrea stellata"
"RCP 4.5",2050,"./mc_output_trial0003",0.5072507,"Siderastrea stellata"
"RCP 8.5",2050,"./mc_output_trial0003",0.4322391,"Siderastrea stellata"
"Status quo",2050,"./mc_output_trial0003",0.2802246,"Zooplankton"
"RCP 2.6",2050,"./mc_output_trial0003",0.2933483,"Zooplankton"
"RCP 4.5",2050,"./mc_output_trial0003",0.2582757,"Zooplankton"
"RCP 8.5",2050,"./mc_output_trial0003",0.2807821,"Zooplankton"
"Status quo",2050,"./mc_output_trial0003",0.1214586,"Phytoplankton"
"RCP 2.6",2050,"./mc_output_trial0003",0.1129394,"Phytoplankton"
"RCP 4.5",2050,"./mc_output_trial0003",0.1134529,"Phytoplankton"
"RCP 8.5",2050,"./mc_output_trial0003",0.1110482,"Phytoplankton"
"Status quo",2050,"./mc_output_trial0003",209.2589,"Digenea simplex"
"RCP 2.6",2050,"./mc_output_trial0003",217.1732,"Digenea simplex"
"RCP 4.5",2050,"./mc_output_trial0003",215.3251,"Digenea simplex"
"RCP 8.5",2050,"./mc_output_trial0003",194.1984,"Digenea simplex"
"Status quo",2050,"./mc_output_trial0003",791.205,"Other algal turf"
"RCP 2.6",2050,"./mc_output_trial0003",729.7997,"Other algal turf"
"RCP 4.5",2050,"./mc_output_trial0003",756.5618,"Other algal turf"
"RCP 8.5",2050,"./mc_output_trial0003",774.5027,"Other algal turf"
"Status quo",2050,"./mc_output_trial0004",0.03661148,"Sea birds"
"RCP 2.6",2050,"./mc_output_trial0004",0.03035367,"Sea birds"
"RCP 4.5",2050,"./mc_output_trial0004",0.03083275,"Sea birds"
"RCP 8.5",2050,"./mc_output_trial0004",0.03425824,"Sea birds"
"Status quo",2050,"./mc_output_trial0004",0.09524155,"Turtles"
"RCP 2.6",2050,"./mc_output_trial0004",0.07996365,"Turtles"
"RCP 4.5",2050,"./mc_output_trial0004",0.0518644,"Turtles"
"RCP 8.5",2050,"./mc_output_trial0004",0.06012736,"Turtles"
"Status quo",2050,"./mc_output_trial0004",0.2301572,"Cephalopoda"
"RCP 2.6",2050,"./mc_output_trial0004",0.364181,"Cephalopoda"
"RCP 4.5",2050,"./mc_output_trial0004",0.2303231,"Cephalopoda"
"RCP 8.5",2050,"./mc_output_trial0004",0.1055284,"Cephalopoda"
"Status quo",2050,"./mc_output_trial0004",3.585514,"Panulirus spp."
"RCP 2.6",2050,"./mc_output_trial0004",2.78244,"Panulirus spp."
"RCP 4.5",2050,"./mc_output_trial0004",2.878891,"Panulirus spp."
"RCP 8.5",2050,"./mc_output_trial0004",0.9752483,"Panulirus spp."
"Status quo",2050,"./mc_output_trial0004",13.07146,"Benthic macroinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0004",14.6434,"Benthic macroinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0004",16.23235,"Benthic macroinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0004",18.42323,"Benthic macroinvertebrates"
"Status quo",2050,"./mc_output_trial0004",22.9384,"Benthic microinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0004",24.86774,"Benthic microinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0004",20.80348,"Benthic microinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0004",23.73373,"Benthic microinvertebrates"
"Status quo",2050,"./mc_output_trial0004",0.7611117,"Siderastrea stellata"
"RCP 2.6",2050,"./mc_output_trial0004",0.6910027,"Siderastrea stellata"
"RCP 4.5",2050,"./mc_output_trial0004",0.5331602,"Siderastrea stellata"
"RCP 8.5",2050,"./mc_output_trial0004",0.4549731,"Siderastrea stellata"
"Status quo",2050,"./mc_output_trial0004",0.2184922,"Zooplankton"
"RCP 2.6",2050,"./mc_output_trial0004",0.2644286,"Zooplankton"
"RCP 4.5",2050,"./mc_output_trial0004",0.2667873,"Zooplankton"
"RCP 8.5",2050,"./mc_output_trial0004",0.339495,"Zooplankton"
"Status quo",2050,"./mc_output_trial0004",0.1259065,"Phytoplankton"
"RCP 2.6",2050,"./mc_output_trial0004",0.1147504,"Phytoplankton"
"RCP 4.5",2050,"./mc_output_trial0004",0.1096674,"Phytoplankton"
"RCP 8.5",2050,"./mc_output_trial0004",0.1138588,"Phytoplankton"
"Status quo",2050,"./mc_output_trial0004",198.9512,"Digenea simplex"
"RCP 2.6",2050,"./mc_output_trial0004",209.7073,"Digenea simplex"
"RCP 4.5",2050,"./mc_output_trial0004",202.0592,"Digenea simplex"
"RCP 8.5",2050,"./mc_output_trial0004",197.5647,"Digenea simplex"
"Status quo",2050,"./mc_output_trial0004",760.1763,"Other algal turf"
"RCP 2.6",2050,"./mc_output_trial0004",828.1487,"Other algal turf"
"RCP 4.5",2050,"./mc_output_trial0004",818.1465,"Other algal turf"
"RCP 8.5",2050,"./mc_output_trial0004",771.0259,"Other algal turf"
"Status quo",2050,"./mc_output_trial0005",0.03899915,"Sea birds"
"RCP 2.6",2050,"./mc_output_trial0005",0.02828517,"Sea birds"
"RCP 4.5",2050,"./mc_output_trial0005",0.03340936,"Sea birds"
"RCP 8.5",2050,"./mc_output_trial0005",0.03205276,"Sea birds"
"Status quo",2050,"./mc_output_trial0005",0.08644927,"Turtles"
"RCP 2.6",2050,"./mc_output_trial0005",0.06287172,"Turtles"
"RCP 4.5",2050,"./mc_output_trial0005",0.06797638,"Turtles"
"RCP 8.5",2050,"./mc_output_trial0005",0.0512187,"Turtles"
"Status quo",2050,"./mc_output_trial0005",0.1274014,"Cephalopoda"
"RCP 2.6",2050,"./mc_output_trial0005",0.1094722,"Cephalopoda"
"RCP 4.5",2050,"./mc_output_trial0005",0.3188215,"Cephalopoda"
"RCP 8.5",2050,"./mc_output_trial0005",0.08618609,"Cephalopoda"
"Status quo",2050,"./mc_output_trial0005",3.718095,"Panulirus spp."
