"scenario","year","trials","biomass","species"
"Status quo",2050,"./mc_output_trial0019",218.8179,"Digenea simplex"
"RCP 2.6",2050,"./mc_output_trial0019",207.3486,"Digenea simplex"
"RCP 4.5",2050,"./mc_output_trial0019",193.9394,"Digenea simplex"
"RCP 8.5",2050,"./mc_output_trial0019",200.074,"Digenea simplex"
"Status quo",2050,"./mc_output_trial0019",843.5327,"Other algal turf"
"RCP 2.6",2050,"./mc_output_trial0019",724.9072,"Other algal turf"
"RCP 4.5",2050,"./mc_output_trial0019",786.386,"Other algal turf"
"RCP 8.5",2050,"./mc_output_trial0019",776.269,"Other algal turf"
"Status quo",2050,"./mc_output_trial0020",0.02064534,"Sea birds"
"RCP 2.6",2050,"./mc_output_trial0020",0.0331803,"Sea birds"
"RCP 4.5",2050,"./mc_output_trial0020",0.02381229,"Sea birds"
"RCP 8.5",2050,"./mc_output_trial0020",0.01806488,"Sea birds"
"Status quo",2050,"./mc_output_trial0020",0.08340935,"Turtles"
"RCP 2.6",2050,"./mc_output_trial0020",0.0794668,"Turtles"
"RCP 4.5",2050,"./mc_output_trial0020",0.06553664,"Turtles"
"RCP 8.5",2050,"./mc_output_trial0020",0.06595585,"Turtles"
"Status quo",2050,"./mc_output_trial0020",0.3889707,"Cephalopoda"
"RCP 2.6",2050,"./mc_output_trial0020",0.2114332,"Cephalopoda"
"RCP 4.5",2050,"./mc_output_trial0020",0.2283517,"Cephalopoda"
"RCP 8.5",2050,"./mc_output_trial0020",0.2301202,"Cephalopoda"
"Status quo",2050,"./mc_output_trial0020",3.122855,"Panulirus spp."
"RCP 2.6",2050,"./mc_output_trial0020",3.937326,"Panulirus spp."
"RCP 4.5",2050,"./mc_output_trial0020",1.471565,"Panulirus spp."
"RCP 8.5",2050,"./mc_output_trial0020",1.680189,"Panulirus spp."
"Status quo",2050,"./mc_output_trial0020",18.0567,"Benthic macroinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0020",16.37764,"Benthic macroinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0020",16.14958,"Benthic macroinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0020",13.27062,"Benthic macroinvertebrates"
"Status quo",2050,"./mc_output_trial0020",26.5614,"Benthic microinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0020",33.36546,"Benthic microinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0020",22.58853,"Benthic microinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0020",19.42181,"Benthic microinvertebrates"
"Status quo",2050,"./mc_output_trial0020",0.6916727,"Siderastrea stellata"
"RCP 2.6",2050,"./mc_output_trial0020",0.7204437,"Siderastrea stellata"
"RCP 4.5",2050,"./mc_output_trial0020",0.5433765,"Siderastrea stellata"
"RCP 8.5",2050,"./mc_output_trial0020",0.3929616,"Siderastrea stellata"
"Status quo",2050,"./mc_output_trial0020",0.2413341,"Zooplankton"
"RCP 2.6",2050,"./mc_output_trial0020",0.2958868,"Zooplankton"
"RCP 4.5",2050,"./mc_output_trial0020",0.2593685,"Zooplankton"
"RCP 8.5",2050,"./mc_output_trial0020",0.2573327,"Zooplankton"
"Status quo",2050,"./mc_output_trial0020",0.1205934,"Phytoplankton"
"RCP 2.6",2050,"./mc_output_trial0020",0.1203734,"Phytoplankton"
"RCP 4.5",2050,"./mc_output_trial0020",0.1140989,"Phytoplankton"
"RCP 8.5",2050,"./mc_output_trial0020",0.09765053,"Phytoplankton"
"Status quo",2050,"./mc_output_trial0020",230.3716,"Digenea simplex"
"RCP 2.6",2050,"./mc_output_trial0020",201.2399,"Digenea simplex"
"RCP 4.5",2050,"./mc_output_trial0020",210.6152,"Digenea simplex"
"RCP 8.5",2050,"./mc_output_trial0020",203.0768,"Digenea simplex"
"Status quo",2050,"./mc_output_trial0020",838.1601,"Other algal turf"
"RCP 2.6",2050,"./mc_output_trial0020",848.7405,"Other algal turf"
"RCP 4.5",2050,"./mc_output_trial0020",783.4683,"Other algal turf"
"RCP 8.5",2050,"./mc_output_trial0020",760.2704,"Other algal turf"
"Status quo",2050,"./mc_output_trial0021",0.03275293,"Sea birds"
"RCP 2.6",2050,"./mc_output_trial0021",0.04152558,"Sea birds"
"RCP 4.5",2050,"./mc_output_trial0021",0.03017815,"Sea birds"
"RCP 8.5",2050,"./mc_output_trial0021",0.01969446,"Sea birds"
"Status quo",2050,"./mc_output_trial0021",0.08980197,"Turtles"
"RCP 2.6",2050,"./mc_output_trial0021",0.07439288,"Turtles"
"RCP 4.5",2050,"./mc_output_trial0021",0.05626163,"Turtles"
"RCP 8.5",2050,"./mc_output_trial0021",0.05645034,"Turtles"
"Status quo",2050,"./mc_output_trial0021",0.31356,"Cephalopoda"
"RCP 2.6",2050,"./mc_output_trial0021",0.3841652,"Cephalopoda"
"RCP 4.5",2050,"./mc_output_trial0021",0.2415181,"Cephalopoda"
"RCP 8.5",2050,"./mc_output_trial0021",0.07509985,"Cephalopoda"
"Status quo",2050,"./mc_output_trial0021",4.418928,"Panulirus spp."
"RCP 2.6",2050,"./mc_output_trial0021",2.187949,"Panulirus spp."
"RCP 4.5",2050,"./mc_output_trial0021",0.8296512,"Panulirus spp."
"RCP 8.5",2050,"./mc_output_trial0021",1.537634,"Panulirus spp."
"Status quo",2050,"./mc_output_trial0021",17.28604,"Benthic macroinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0021",19.4292,"Benthic macroinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0021",22.51902,"Benthic macroinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0021",15.03229,"Benthic macroinvertebrates"
"Status quo",2050,"./mc_output_trial0021",24.72049,"Benthic microinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0021",29.59046,"Benthic microinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0021",30.50876,"Benthic microinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0021",18.64353,"Benthic microinvertebrates"
"Status quo",2050,"./mc_output_trial0021",0.646213,"Siderastrea stellata"
"RCP 2.6",2050,"./mc_output_trial0021",0.6420016,"Siderastrea stellata"
"RCP 4.5",2050,"./mc_output_trial0021",0.5805941,"Siderastrea stellata"
"RCP 8.5",2050,"./mc_output_trial0021",0.390903,"Siderastrea stellata"
"Status quo",2050,"./mc_output_trial0021",0.2425516,"Zooplankton"
"RCP 2.6",2050,"./mc_output_trial0021",0.2704549,"Zooplankton"
"RCP 4.5",2050,"./mc_output_trial0021",0.2664828,"Zooplankton"
"RCP 8.5",2050,"./mc_output_trial0021",0.251843,"Zooplankton"
"Status quo",2050,"./mc_output_trial0021",0.131485,"Phytoplankton"
"RCP 2.6",2050,"./mc_output_trial0021",0.1076418,"Phytoplankton"
"RCP 4.5",2050,"./mc_output_trial0021",0.1045409,"Phytoplankton"
"RCP 8.5",2050,"./mc_output_trial0021",0.1041354,"Phytoplankton"
"Status quo",2050,"./mc_output_trial0021",196.1272,"Digenea simplex"
"RCP 2.6",2050,"./mc_output_trial0021",195.3469,"Digenea simplex"
"RCP 4.5",2050,"./mc_output_trial0021",195.7983,"Digenea simplex"
"RCP 8.5",2050,"./mc_output_trial0021",198.695,"Digenea simplex"
"Status quo",2050,"./mc_output_trial0021",795.0453,"Other algal turf"
"RCP 2.6",2050,"./mc_output_trial0021",831.0015,"Other algal turf"
"RCP 4.5",2050,"./mc_output_trial0021",750.3962,"Other algal turf"
"RCP 8.5",2050,"./mc_output_trial0021",709.9337,"Other algal turf"
"Status quo",2050,"./mc_output_trial0022",0.02639341,"Sea birds"
"RCP 2.6",2050,"./mc_output_trial0022",0.03686646,"Sea birds"
"RCP 4.5",2050,"./mc_output_trial0022",0.03101584,"Sea birds"
"RCP 8.5",2050,"./mc_output_trial0022",0.03470995,"Sea birds"
"Status quo",2050,"./mc_output_trial0022",0.08569743,"Turtles"
"RCP 2.6",2050,"./mc_output_trial0022",0.06223127,"Turtles"
"RCP 4.5",2050,"./mc_output_trial0022",0.06086871,"Turtles"
"RCP 8.5",2050,"./mc_output_trial0022",0.06048609,"Turtles"
"Status quo",2050,"./mc_output_trial0022",0.1415217,"Cephalopoda"
"RCP 2.6",2050,"./mc_output_trial0022",0.1836826,"Cephalopoda"
"RCP 4.5",2050,"./mc_output_trial0022",0.1309061,"Cephalopoda"
"RCP 8.5",2050,"./mc_output_trial0022",0.223303,"Cephalopoda"
"Status quo",2050,"./mc_output_trial0022",5.790368,"Panulirus spp."
"RCP 2.6",2050,"./mc_output_trial0022",1.937829,"Panulirus spp."
"RCP 4.5",2050,"./mc_output_trial0022",2.07748,"Panulirus spp."
"RCP 8.5",2050,"./mc_output_trial0022",1.536853,"Panulirus spp."
"Status quo",2050,"./mc_output_trial0022",13.47125,"Benthic macroinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0022",20.12138,"Benthic macroinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0022",11.14031,"Benthic macroinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0022",18.35499,"Benthic macroinvertebrates"
"Status quo",2050,"./mc_output_trial0022",23.13348,"Benthic microinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0022",23.78807,"Benthic microinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0022",21.36881,"Benthic microinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0022",20.50144,"Benthic microinvertebrates"
"Status quo",2050,"./mc_output_trial0022",0.6991772,"Siderastrea stellata"
"RCP 2.6",2050,"./mc_output_trial0022",0.6451162,"Siderastrea stellata"
"RCP 4.5",2050,"./mc_output_trial0022",0.542021,"Siderastrea stellata"
"RCP 8.5",2050,"./mc_output_trial0022",0.489351,"Siderastrea stellata"
"Status quo",2050,"./mc_output_trial0022",0.231456,"Zooplankton"
"RCP 2.6",2050,"./mc_output_trial0022",0.3091899,"Zooplankton"
"RCP 4.5",2050,"./mc_output_trial0022",0.3531091,"Zooplankton"
"RCP 8.5",2050,"./mc_output_trial0022",0.2627762,"Zooplankton"
"Status quo",2050,"./mc_output_trial0022",0.1265822,"Phytoplankton"
"RCP 2.6",2050,"./mc_output_trial0022",0.1131381,"Phytoplankton"
"RCP 4.5",2050,"./mc_output_trial0022",0.1077434,"Phytoplankton"
"RCP 8.5",2050,"./mc_output_trial0022",0.1007435,"Phytoplankton"
"Status quo",2050,"./mc_output_trial0022",203.0023,"Digenea simplex"
"RCP 2.6",2050,"./mc_output_trial0022",218.2151,"Digenea simplex"
"RCP 4.5",2050,"./mc_output_trial0022",191.9935,"Digenea simplex"
"RCP 8.5",2050,"./mc_output_trial0022",208.5233,"Digenea simplex"
"Status quo",2050,"./mc_output_trial0022",740.9825,"Other algal turf"
"RCP 2.6",2050,"./mc_output_trial0022",838.3538,"Other algal turf"
"RCP 4.5",2050,"./mc_output_trial0022",817.79,"Other algal turf"
"RCP 8.5",2050,"./mc_output_trial0022",755.8135,"Other algal turf"
"Status quo",2050,"./mc_output_trial0023",0.02256709,"Sea birds"
"RCP 2.6",2050,"./mc_output_trial0023",0.02242089,"Sea birds"
"RCP 4.5",2050,"./mc_output_trial0023",0.04029947,"Sea birds"
"RCP 8.5",2050,"./mc_output_trial0023",0.01890482,"Sea birds"
"Status quo",2050,"./mc_output_trial0023",0.09079057,"Turtles"
"RCP 2.6",2050,"./mc_output_trial0023",0.06711493,"Turtles"
"RCP 4.5",2050,"./mc_output_trial0023",0.07396043,"Turtles"
"RCP 8.5",2050,"./mc_output_trial0023",0.0618238,"Turtles"
"Status quo",2050,"./mc_output_trial0023",0.2796074,"Cephalopoda"
"RCP 2.6",2050,"./mc_output_trial0023",0.1702394,"Cephalopoda"
"RCP 4.5",2050,"./mc_output_trial0023",0.1488532,"Cephalopoda"
"RCP 8.5",2050,"./mc_output_trial0023",0.1012621,"Cephalopoda"
"Status quo",2050,"./mc_output_trial0023",4.579831,"Panulirus spp."
"RCP 2.6",2050,"./mc_output_trial0023",2.564688,"Panulirus spp."
"RCP 4.5",2050,"./mc_output_trial0023",0.7086689,"Panulirus spp."
"RCP 8.5",2050,"./mc_output_trial0023",1.640092,"Panulirus spp."
"Status quo",2050,"./mc_output_trial0023",19.69073,"Benthic macroinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0023",16.32064,"Benthic macroinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0023",12.10361,"Benthic macroinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0023",12.73406,"Benthic macroinvertebrates"
"Status quo",2050,"./mc_output_trial0023",24.92311,"Benthic microinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0023",25.71643,"Benthic microinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0023",15.68436,"Benthic microinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0023",18.68132,"Benthic microinvertebrates"
"Status quo",2050,"./mc_output_trial0023",0.8345124,"Siderastrea stellata"
"RCP 2.6",2050,"./mc_output_trial0023",0.599971,"Siderastrea stellata"
"RCP 4.5",2050,"./mc_output_trial0023",0.4465003,"Siderastrea stellata"
"RCP 8.5",2050,"./mc_output_trial0023",0.4467778,"Siderastrea stellata"
"Status quo",2050,"./mc_output_trial0023",0.2566732,"Zooplankton"
"RCP 2.6",2050,"./mc_output_trial0023",0.2117123,"Zooplankton"
"RCP 4.5",2050,"./mc_output_trial0023",0.2646133,"Zooplankton"
"RCP 8.5",2050,"./mc_output_trial0023",0.2759919,"Zooplankton"
"Status quo",2050,"./mc_output_trial0023",0.1209132,"Phytoplankton"
"RCP 2.6",2050,"./mc_output_trial0023",0.1068743,"Phytoplankton"
"RCP 4.5",2050,"./mc_output_trial0023",0.1079587,"Phytoplankton"
"RCP 8.5",2050,"./mc_output_trial0023",0.1103913,"Phytoplankton"
"Status quo",2050,"./mc_output_trial0023",215.5414,"Digenea simplex"
"RCP 2.6",2050,"./mc_output_trial0023",208.964,"Digenea simplex"
"RCP 4.5",2050,"./mc_output_trial0023",211.197,"Digenea simplex"
"RCP 8.5",2050,"./mc_output_trial0023",196.709,"Digenea simplex"
"Status quo",2050,"./mc_output_trial0023",784.1719,"Other algal turf"
"RCP 2.6",2050,"./mc_output_trial0023",834.6179,"Other algal turf"
"RCP 4.5",2050,"./mc_output_trial0023",792.7998,"Other algal turf"
"RCP 8.5",2050,"./mc_output_trial0023",771.9344,"Other algal turf"
"Status quo",2050,"./mc_output_trial0024",0.02646283,"Sea birds"
"RCP 2.6",2050,"./mc_output_trial0024",0.04254098,"Sea birds"
"RCP 4.5",2050,"./mc_output_trial0024",0.03240259,"Sea birds"
"RCP 8.5",2050,"./mc_output_trial0024",0.02309473,"Sea birds"
"Status quo",2050,"./mc_output_trial0024",0.09190366,"Turtles"
"RCP 2.6",2050,"./mc_output_trial0024",0.07280148,"Turtles"
"RCP 4.5",2050,"./mc_output_trial0024",0.0623096,"Turtles"
"RCP 8.5",2050,"./mc_output_trial0024",0.05300014,"Turtles"
"Status quo",2050,"./mc_output_trial0024",0.1612443,"Cephalopoda"
"RCP 2.6",2050,"./mc_output_trial0024",0.1860674,"Cephalopoda"
"RCP 4.5",2050,"./mc_output_trial0024",0.2460293,"Cephalopoda"
"RCP 8.5",2050,"./mc_output_trial0024",0.1306597,"Cephalopoda"
"Status quo",2050,"./mc_output_trial0024",2.771662,"Panulirus spp."
"RCP 2.6",2050,"./mc_output_trial0024",3.357043,"Panulirus spp."
"RCP 4.5",2050,"./mc_output_trial0024",1.839833,"Panulirus spp."
"RCP 8.5",2050,"./mc_output_trial0024",1.939279,"Panulirus spp."
"Status quo",2050,"./mc_output_trial0024",15.66416,"Benthic macroinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0024",16.9966,"Benthic macroinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0024",19.138,"Benthic macroinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0024",23.09447,"Benthic macroinvertebrates"
"Status quo",2050,"./mc_output_trial0024",23.59802,"Benthic microinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0024",25.80293,"Benthic microinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0024",25.17182,"Benthic microinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0024",28.60467,"Benthic microinvertebrates"
"Status quo",2050,"./mc_output_trial0024",0.838843,"Siderastrea stellata"
"RCP 2.6",2050,"./mc_output_trial0024",0.6811103,"Siderastrea stellata"
"RCP 4.5",2050,"./mc_output_trial0024",0.5363704,"Siderastrea stellata"
"RCP 8.5",2050,"./mc_output_trial0024",0.4497996,"Siderastrea stellata"
"Status quo",2050,"./mc_output_trial0024",0.1986443,"Zooplankton"
"RCP 2.6",2050,"./mc_output_trial0024",0.2579063,"Zooplankton"
"RCP 4.5",2050,"./mc_output_trial0024",0.2081076,"Zooplankton"
"RCP 8.5",2050,"./mc_output_trial0024",0.3280101,"Zooplankton"
"Status quo",2050,"./mc_output_trial0024",0.125158,"Phytoplankton"
"RCP 2.6",2050,"./mc_output_trial0024",0.1178006,"Phytoplankton"
"RCP 4.5",2050,"./mc_output_trial0024",0.1107403,"Phytoplankton"
"RCP 8.5",2050,"./mc_output_trial0024",0.1012494,"Phytoplankton"
"Status quo",2050,"./mc_output_trial0024",192.8317,"Digenea simplex"
"RCP 2.6",2050,"./mc_output_trial0024",217.8945,"Digenea simplex"
"RCP 4.5",2050,"./mc_output_trial0024",190.2194,"Digenea simplex"
"RCP 8.5",2050,"./mc_output_trial0024",187.8858,"Digenea simplex"
"Status quo",2050,"./mc_output_trial0024",743.7473,"Other algal turf"
"RCP 2.6",2050,"./mc_output_trial0024",757.3504,"Other algal turf"
"RCP 4.5",2050,"./mc_output_trial0024",819.3599,"Other algal turf"
"RCP 8.5",2050,"./mc_output_trial0024",795.0083,"Other algal turf"
"Status quo",2050,"./mc_output_trial0025",0.02331697,"Sea birds"
"RCP 2.6",2050,"./mc_output_trial0025",0.0259775,"Sea birds"
"RCP 4.5",2050,"./mc_output_trial0025",0.04153057,"Sea birds"
"RCP 8.5",2050,"./mc_output_trial0025",0.03456125,"Sea birds"
"Status quo",2050,"./mc_output_trial0025",0.09637132,"Turtles"
"RCP 2.6",2050,"./mc_output_trial0025",0.06894654,"Turtles"
"RCP 4.5",2050,"./mc_output_trial0025",0.07204831,"Turtles"
"RCP 8.5",2050,"./mc_output_trial0025",0.0557843,"Turtles"
"Status quo",2050,"./mc_output_trial0025",0.2296108,"Cephalopoda"
"RCP 2.6",2050,"./mc_output_trial0025",0.2023671,"Cephalopoda"
"RCP 4.5",2050,"./mc_output_trial0025",0.1557989,"Cephalopoda"
"RCP 8.5",2050,"./mc_output_trial0025",0.1499211,"Cephalopoda"
"Status quo",2050,"./mc_output_trial0025",2.729272,"Panulirus spp."
"RCP 2.6",2050,"./mc_output_trial0025",1.660514,"Panulirus spp."
"RCP 4.5",2050,"./mc_output_trial0025",3.005988,"Panulirus spp."
"RCP 8.5",2050,"./mc_output_trial0025",2.33143,"Panulirus spp."
"Status quo",2050,"./mc_output_trial0025",14.32016,"Benthic macroinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0025",17.5355,"Benthic macroinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0025",21.4836,"Benthic macroinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0025",18.86325,"Benthic macroinvertebrates"
"Status quo",2050,"./mc_output_trial0025",20.45824,"Benthic microinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0025",27.79838,"Benthic microinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0025",24.86849,"Benthic microinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0025",25.98716,"Benthic microinvertebrates"
"Status quo",2050,"./mc_output_trial0025",0.8307216,"Siderastrea stellata"
"RCP 2.6",2050,"./mc_output_trial0025",0.6537808,"Siderastrea stellata"
"RCP 4.5",2050,"./mc_output_trial0025",0.6034598,"Siderastrea stellata"
"RCP 8.5",2050,"./mc_output_trial0025",0.404764,"Siderastrea stellata"
"Status quo",2050,"./mc_output_trial0025",0.21289,"Zooplankton"
"RCP 2.6",2050,"./mc_output_trial0025",0.2816435,"Zooplankton"
"RCP 4.5",2050,"./mc_output_trial0025",0.2843504,"Zooplankton"
"RCP 8.5",2050,"./mc_output_trial0025",0.2774601,"Zooplankton"
"Status quo",2050,"./mc_output_trial0025",0.1129654,"Phytoplankton"
"RCP 2.6",2050,"./mc_output_trial0025",0.1170327,"Phytoplankton"
"RCP 4.5",2050,"./mc_output_trial0025",0.1083906,"Phytoplankton"
"RCP 8.5",2050,"./mc_output_trial0025",0.1133434,"Phytoplankton"
"Status quo",2050,"./mc_output_trial0025",227.6887,"Digenea simplex"
"RCP 2.6",2050,"./mc_output_trial0025",215.4328,"Digenea simplex"
"RCP 4.5",2050,"./mc_output_trial0025",188.9946,"Digenea simplex"
"RCP 8.5",2050,"./mc_output_trial0025",197.4948,"Digenea simplex"
"Status quo",2050,"./mc_output_trial0025",817.0324,"Other algal turf"
"RCP 2.6",2050,"./mc_output_trial0025",854.6318,"Other algal turf"
"RCP 4.5",2050,"./mc_output_trial0025",748.3524,"Other algal turf"
"RCP 8.5",2050,"./mc_output_trial0025",737.7212,"Other algal turf"
"Status quo",2050,"./mc_output_trial0026",0.02542931,"Sea birds"
"RCP 2.6",2050,"./mc_output_trial0026",0.02744273,"Sea birds"
"RCP 4.5",2050,"./mc_output_trial0026",0.03990834,"Sea birds"
"RCP 8.5",2050,"./mc_output_trial0026",0.03094357,"Sea birds"
"Status quo",2050,"./mc_output_trial0026",0.07391275,"Turtles"
"RCP 2.6",2050,"./mc_output_trial0026",0.06549135,"Turtles"
"RCP 4.5",2050,"./mc_output_trial0026",0.06492484,"Turtles"
"RCP 8.5",2050,"./mc_output_trial0026",0.06592583,"Turtles"
"Status quo",2050,"./mc_output_trial0026",0.2474772,"Cephalopoda"
"RCP 2.6",2050,"./mc_output_trial0026",0.2534567,"Cephalopoda"
"RCP 4.5",2050,"./mc_output_trial0026",0.1286686,"Cephalopoda"
"RCP 8.5",2050,"./mc_output_trial0026",0.2349108,"Cephalopoda"
"Status quo",2050,"./mc_output_trial0026",3.293893,"Panulirus spp."
"RCP 2.6",2050,"./mc_output_trial0026",2.921853,"Panulirus spp."
"RCP 4.5",2050,"./mc_output_trial0026",2.934465,"Panulirus spp."
"RCP 8.5",2050,"./mc_output_trial0026",1.213337,"Panulirus spp."
"Status quo",2050,"./mc_output_trial0026",14.71718,"Benthic macroinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0026",20.73014,"Benthic macroinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0026",19.05093,"Benthic macroinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0026",17.3028,"Benthic macroinvertebrates"
"Status quo",2050,"./mc_output_trial0026",21.43012,"Benthic microinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0026",21.97325,"Benthic microinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0026",24.1057,"Benthic microinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0026",25.43127,"Benthic microinvertebrates"
"Status quo",2050,"./mc_output_trial0026",0.6175712,"Siderastrea stellata"
"RCP 2.6",2050,"./mc_output_trial0026",0.5997727,"Siderastrea stellata"
"RCP 4.5",2050,"./mc_output_trial0026",0.5435176,"Siderastrea stellata"
"RCP 8.5",2050,"./mc_output_trial0026",0.3484633,"Siderastrea stellata"
"Status quo",2050,"./mc_output_trial0026",0.2961042,"Zooplankton"
"RCP 2.6",2050,"./mc_output_trial0026",0.1953789,"Zooplankton"
"RCP 4.5",2050,"./mc_output_trial0026",0.2479295,"Zooplankton"
"RCP 8.5",2050,"./mc_output_trial0026",0.3106153,"Zooplankton"
"Status quo",2050,"./mc_output_trial0026",0.122539,"Phytoplankton"
"RCP 2.6",2050,"./mc_output_trial0026",0.1182661,"Phytoplankton"
"RCP 4.5",2050,"./mc_output_trial0026",0.1057476,"Phytoplankton"
"RCP 8.5",2050,"./mc_output_trial0026",0.110048,"Phytoplankton"
"Status quo",2050,"./mc_output_trial0026",220.9782,"Digenea simplex"
"RCP 2.6",2050,"./mc_output_trial0026",203.1237,"Digenea simplex"
"RCP 4.5",2050,"./mc_output_trial0026",186.9928,"Digenea simplex"
"RCP 8.5",2050,"./mc_output_trial0026",190.9294,"Digenea simplex"
"Status quo",2050,"./mc_output_trial0026",815.5244,"Other algal turf"
"RCP 2.6",2050,"./mc_output_trial0026",807.4824,"Other algal turf"
"RCP 4.5",2050,"./mc_output_trial0026",802.8435,"Other algal turf"
"RCP 8.5",2050,"./mc_output_trial0026",769.9863,"Other algal turf"
"Status quo",2050,"./mc_output_trial0027",0.02758846,"Sea birds"
"RCP 2.6",2050,"./mc_output_trial0027",0.03382475,"Sea birds"
"RCP 4.5",2050,"./mc_output_trial0027",0.02917187,"Sea birds"
"RCP 8.5",2050,"./mc_output_trial0027",0.02540578,"Sea birds"
"Status quo",2050,"./mc_output_trial0027",0.07145669,"Turtles"
"RCP 2.6",2050,"./mc_output_trial0027",0.06567439,"Turtles"
"RCP 4.5",2050,"./mc_output_trial0027",0.05806059,"Turtles"
"RCP 8.5",2050,"./mc_output_trial0027",0.06235433,"Turtles"
"Status quo",2050,"./mc_output_trial0027",0.1425574,"Cephalopoda"
"RCP 2.6",2050,"./mc_output_trial0027",0.1806371,"Cephalopoda"
"RCP 4.5",2050,"./mc_output_trial0027",0.08731002,"Cephalopoda"
"RCP 8.5",2050,"./mc_output_trial0027",0.183641,"Cephalopoda"
"Status quo",2050,"./mc_output_trial0027",4.260269,"Panulirus spp."
"RCP 2.6",2050,"./mc_output_trial0027",1.905694,"Panulirus spp."
"RCP 4.5",2050,"./mc_output_trial0027",2.555681,"Panulirus spp."
"RCP 8.5",2050,"./mc_output_trial0027",1.745089,"Panulirus spp."
"Status quo",2050,"./mc_output_trial0027",16.75569,"Benthic macroinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0027",16.10568,"Benthic macroinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0027",18.14491,"Benthic macroinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0027",17.67396,"Benthic macroinvertebrates"
"Status quo",2050,"./mc_output_trial0027",22.55028,"Benthic microinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0027",27.09971,"Benthic microinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0027",25.25535,"Benthic microinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0027",23.81474,"Benthic microinvertebrates"
"Status quo",2050,"./mc_output_trial0027",0.5897444,"Siderastrea stellata"
"RCP 2.6",2050,"./mc_output_trial0027",0.6628022,"Siderastrea stellata"
"RCP 4.5",2050,"./mc_output_trial0027",0.459031,"Siderastrea stellata"
"RCP 8.5",2050,"./mc_output_trial0027",0.356874,"Siderastrea stellata"
"Status quo",2050,"./mc_output_trial0027",0.2707033,"Zooplankton"
"RCP 2.6",2050,"./mc_output_trial0027",0.2426406,"Zooplankton"
"RCP 4.5",2050,"./mc_output_trial0027",0.2717824,"Zooplankton"
"RCP 8.5",2050,"./mc_output_trial0027",0.2544122,"Zooplankton"
"Status quo",2050,"./mc_output_trial0027",0.1220137,"Phytoplankton"
"RCP 2.6",2050,"./mc_output_trial0027",0.1229834,"Phytoplankton"
"RCP 4.5",2050,"./mc_output_trial0027",0.1083525,"Phytoplankton"
"RCP 8.5",2050,"./mc_output_trial0027",0.09715878,"Phytoplankton"
"Status quo",2050,"./mc_output_trial0027",211.6961,"Digenea simplex"
"RCP 2.6",2050,"./mc_output_trial0027",203.3331,"Digenea simplex"
"RCP 4.5",2050,"./mc_output_trial0027",209.4153,"Digenea simplex"
"RCP 8.5",2050,"./mc_output_trial0027",187.6837,"Digenea simplex"
"Status quo",2050,"./mc_output_trial0027",803.1754,"Other algal turf"
