"scenario","trials","biomass"
"RCP 2.6","./mc_output_trial0001",24.87992965
"RCP 2.6","./mc_output_trial0002",35.50924658
"RCP 2.6","./mc_output_trial0003",26.35623015
"RCP 2.6","./mc_output_trial0004",26.19116762
"RCP 2.6","./mc_output_trial0005",27.70928447
"RCP 2.6","./mc_output_trial0006",26.7623182
"RCP 2.6","./mc_output_trial0007",27.3795051
"RCP 2.6","./mc_output_trial0008",29.2269533
"RCP 2.6","./mc_output_trial0009",28.28759791
"RCP 2.6","./mc_output_trial0010",25.100396
"RCP 2.6","./mc_output_trial0011",27.15237128
"RCP 2.6","./mc_output_trial0012",26.6332692
"RCP 2.6","./mc_output_trial0013",29.043946
"RCP 2.6","./mc_output_trial0014",26.5603867
"RCP 2.6","./mc_output_trial0015",27.68221565
"RCP 2.6","./mc_output_trial0016",25.16479135
"RCP 2.6","./mc_output_trial0017",26.82550758
"RCP 2.6","./mc_output_trial0018",38.11865247
"RCP 2.6","./mc_output_trial0019",25.81915263
"RCP 2.6","./mc_output_trial0020",29.52872421
"RCP 2.6","./mc_output_trial0021",26.80520607
"RCP 2.6","./mc_output_trial0022",27.4440957
"RCP 2.6","./mc_output_trial0023",27.5748907
"RCP 2.6","./mc_output_trial0024",26.2190078
"RCP 2.6","./mc_output_trial0025",27.2860511
"RCP 2.6","./mc_output_trial0026",29.89155552
"RCP 2.6","./mc_output_trial0027",27.0627278
"RCP 2.6","./mc_output_trial0028",26.56005582
"RCP 2.6","./mc_output_trial0029",26.42030704
"RCP 2.6","./mc_output_trial0030",26.82847482
"RCP 2.6","./mc_output_trial0031",26.86397583
"RCP 2.6","./mc_output_trial0032",24.58643354
"RCP 2.6","./mc_output_trial0033",28.70239057
"RCP 2.6","./mc_output_trial0034",29.12697421
"RCP 2.6","./mc_output_trial0035",25.53804062
"RCP 2.6","./mc_output_trial0036",31.72860211
"RCP 2.6","./mc_output_trial0037",28.3020956
"RCP 2.6","./mc_output_trial0038",28.63009736
"RCP 2.6","./mc_output_trial0039",27.9945593
"RCP 2.6","./mc_output_trial0040",27.12723611
"RCP 2.6","./mc_output_trial0041",27.9638312
"RCP 2.6","./mc_output_trial0042",26.32777258
"RCP 2.6","./mc_output_trial0043",26.86696983
"RCP 2.6","./mc_output_trial0044",29.60691254
"RCP 2.6","./mc_output_trial0045",27.66516676
"RCP 2.6","./mc_output_trial0046",28.24383151
"RCP 2.6","./mc_output_trial0047",28.734065
"RCP 2.6","./mc_output_trial0048",26.53029252
"RCP 2.6","./mc_output_trial0049",27.65073692
"RCP 2.6","./mc_output_trial0050",28.1360563
"RCP 2.6","./mc_output_trial0051",25.48024914
"RCP 2.6","./mc_output_trial0052",27.5085994
"RCP 2.6","./mc_output_trial0053",30.01816496
"RCP 2.6","./mc_output_trial0054",29.8962144
"RCP 2.6","./mc_output_trial0055",27.46629697
"RCP 2.6","./mc_output_trial0056",28.61651209
"RCP 2.6","./mc_output_trial0057",27.4825763
"RCP 2.6","./mc_output_trial0058",29.4105697
"RCP 2.6","./mc_output_trial0059",25.98182628
"RCP 2.6","./mc_output_trial0060",27.37581478
"RCP 2.6","./mc_output_trial0061",25.72490905
"RCP 2.6","./mc_output_trial0062",25.65174481
"RCP 2.6","./mc_output_trial0063",28.25095626
"RCP 2.6","./mc_output_trial0064",27.25372646
"RCP 2.6","./mc_output_trial0065",26.95239006
"RCP 2.6","./mc_output_trial0066",28.8805323
"RCP 2.6","./mc_output_trial0067",26.93005513
"RCP 2.6","./mc_output_trial0068",27.4344542
"RCP 2.6","./mc_output_trial0069",29.06075737
"RCP 2.6","./mc_output_trial0070",28.0256959
"RCP 2.6","./mc_output_trial0071",28.78699039
"RCP 2.6","./mc_output_trial0072",28.73342288
"RCP 2.6","./mc_output_trial0073",30.6539658
"RCP 2.6","./mc_output_trial0074",27.35783173
"RCP 2.6","./mc_output_trial0075",25.82281539
"RCP 2.6","./mc_output_trial0076",26.7209878
"RCP 2.6","./mc_output_trial0077",28.88185869
"RCP 2.6","./mc_output_trial0078",26.5110399
"RCP 2.6","./mc_output_trial0079",32.4054075
"RCP 2.6","./mc_output_trial0080",27.4067595
"RCP 2.6","./mc_output_trial0081",27.7621447
"RCP 2.6","./mc_output_trial0082",27.3057429
"RCP 2.6","./mc_output_trial0083",27.97072378
"RCP 2.6","./mc_output_trial0084",28.21301123
"RCP 2.6","./mc_output_trial0085",26.0495333
"RCP 2.6","./mc_output_trial0086",27.04285832
"RCP 2.6","./mc_output_trial0087",27.70823618
"RCP 2.6","./mc_output_trial0088",27.26464381
"RCP 2.6","./mc_output_trial0089",30.2939484
"RCP 2.6","./mc_output_trial0090",28.78649164
"RCP 2.6","./mc_output_trial0091",26.750801
"RCP 2.6","./mc_output_trial0092",26.60226259
"RCP 2.6","./mc_output_trial0093",25.926559
"RCP 2.6","./mc_output_trial0094",27.0703359
"RCP 2.6","./mc_output_trial0095",27.0874769
"RCP 2.6","./mc_output_trial0096",28.3781773
"RCP 2.6","./mc_output_trial0097",30.58901
"RCP 2.6","./mc_output_trial0098",27.6881438
"RCP 2.6","./mc_output_trial0099",27.58329672
"RCP 2.6","./mc_output_trial0100",26.439012
"RCP 2.6","./mc_output_trial0101",28.13781268
"RCP 2.6","./mc_output_trial0102",27.51001595
"RCP 2.6","./mc_output_trial0103",30.6348545
"RCP 2.6","./mc_output_trial0104",27.93046442
"RCP 2.6","./mc_output_trial0105",27.8302188
"RCP 2.6","./mc_output_trial0106",26.48762581
"RCP 2.6","./mc_output_trial0107",30.80949066
"RCP 2.6","./mc_output_trial0108",28.04921792
"RCP 2.6","./mc_output_trial0109",27.01745503
"RCP 2.6","./mc_output_trial0110",26.9845083
"RCP 2.6","./mc_output_trial0111",27.09299725
"RCP 2.6","./mc_output_trial0112",27.2304323
"RCP 2.6","./mc_output_trial0113",27.8219327
"RCP 2.6","./mc_output_trial0114",27.03404419
"RCP 2.6","./mc_output_trial0115",25.51671891
"RCP 2.6","./mc_output_trial0116",26.69418896
"RCP 2.6","./mc_output_trial0117",29.2983546
"RCP 2.6","./mc_output_trial0118",28.23177743
"RCP 2.6","./mc_output_trial0119",27.1096384
"RCP 2.6","./mc_output_trial0120",28.177981
"RCP 2.6","./mc_output_trial0121",27.94445122
"RCP 2.6","./mc_output_trial0122",31.28039305
