"year","mean","percent_05","percent_95","scenario","species","mean_variation","min_variation","max_variation","trophic_group","numbers"
2100,0.2838187948,0.26337805,0.303898525,"RCP 4.5","Kyphosus spp.",-37.3160659668752,-41.8305883385667,-32.8812769172398,"Herbivores/Detritivores","13"
2100,7.4563041756e-05,1.6564715e-05,0.000195216635,"RCP 8.5","Kyphosus spp.",-99.9835320814676,-99.996341533678,-99.9568846500136,"Herbivores/Detritivores","13"
2100,1.468773454,1.00223515,2.75509039999999,"RCP 2.6","Mulloidichthys martinicus",-2.29472018845974,-33.3296326257603,83.2732459216188,"Invertivores","14"
2100,1.2416671296,0.736966555,2.25677955,"RCP 4.5","Mulloidichthys martinicus",-17.4022147527456,-50.9757455978491,50.1247703008336,"Invertivores","14"
2100,0.198041236601535,3.966358e-09,0.957422469999998,"RCP 8.5","Mulloidichthys martinicus",-86.8259639472103,-99.9999997361512,-36.3106474491022,"Invertivores","14"
2100,3.274393628,2.9130926,3.6158429,"RCP 2.6","Holocentrus adscensionis",11.2761127438882,-1.00224425705903,22.8798330060113,"Invertivores","15"
2100,3.110128728,2.7425425,3.5403933,"RCP 4.5","Holocentrus adscensionis",5.6937785443716,-6.79817300362005,20.3157740839906,"Invertivores","15"
2100,0.96059008504,0.11253273,2.264992,"RCP 8.5","Holocentrus adscensionis",-67.3555648015168,-96.175717957738,-23.0271208077233,"Invertivores","15"
2100,1.1200353164,0.91659053,1.32363465,"RCP 2.6","Haemulidae",16.368581459082,-4.76877095468688,37.5219909008474,"Invertivores","16"
2100,1.0542090924,0.88042783,1.23089005,"RCP 4.5","Haemulidae",9.52941826705984,-8.5259757848491,27.8860826558473,"Invertivores","16"
2100,0.3102716356384,0.00999372315,0.817687555,"RCP 8.5","Haemulidae",-67.7636324698397,-98.9616797172091,-15.0445173836707,"Invertivores","16"
2100,0.3649483148,0.254357105,0.471298595,"RCP 2.6","Cryptobenthic reef fishes",-26.8046129726511,-48.985196016499,-5.47460649222105,"Herbivores/Detritivores","17"
2100,0.09413997696,0.036702712,0.15546617,"RCP 4.5","Cryptobenthic reef fishes",-81.1189372059188,-92.6387680094767,-68.8191285688062,"Herbivores/Detritivores","17"
2100,1.63881133645971e-13,1e-20,4.32124804999997e-14,"RCP 8.5","Cryptobenthic reef fishes",-99.9999999999671,-100,-99.9999999999913,"Herbivores/Detritivores","17"
