"year.group","mean","percent_05","percent_95","scenario","species"
2096,0.02730142344,0.017232809,0.0373260615,"Status quo","X1"
2097,0.02730142344,0.017232809,0.0373260615,"Status quo","X1"
2098,0.02730142344,0.017232809,0.0373260615,"Status quo","X1"
2099,0.0273014234,0.017232809,0.0373260615,"Status quo","X1"
2100,0.0273014234,0.017232809,0.0373260615,"Status quo","X1"
2012,0.0244072726,0.0158668,0.033869288,"RCP 2.6","X1"
2013,0.02919305492,0.0190213125,0.0405582495,"RCP 2.6","X1"
2014,0.03006345908,0.019202792,0.042319216,"RCP 2.6","X1"
2015,0.03019451352,0.0191055455,0.0431600425,"RCP 2.6","X1"
2016,0.03004611236,0.019048246,0.04265425,"RCP 2.6","X1"
2017,0.02956405676,0.0185720705,0.0414057385,"RCP 2.6","X1"
2018,0.02915258376,0.0182259905,0.0408231655,"RCP 2.6","X1"
2019,0.02912405704,0.018247494,0.040879309,"RCP 2.6","X1"
2020,0.02929925672,0.018421897,0.0410780485,"RCP 2.6","X1"
2021,0.0294161272,0.018515851,0.041157453,"RCP 2.6","X1"
2022,0.02954539536,0.01859466,0.041275644,"RCP 2.6","X1"
2023,0.0296494646,0.018652845,0.041396591,"RCP 2.6","X1"
2024,0.02963035776,0.0186268865,0.0413714485,"RCP 2.6","X1"
2025,0.02958974372,0.018592572,0.0413185865,"RCP 2.6","X1"
2026,0.02963993,0.0186297155,0.0413940795,"RCP 2.6","X1"
2027,0.029687295,0.0186657385,0.0414646465,"RCP 2.6","X1"
2028,0.02969609244,0.018672625,0.041479972,"RCP 2.6","X1"
2029,0.0297015,0.018676823,0.0414876515,"RCP 2.6","X1"
2030,0.0297122502,0.018684053,0.0415038285,"RCP 2.6","X1"
2031,0.02973391032,0.0186971025,0.0415346395,"RCP 2.6","X1"
2032,0.02975583732,0.0187083975,0.0415643735,"RCP 2.6","X1"
2033,0.02976338752,0.0187102855,0.041572857,"RCP 2.6","X1"
2034,0.02977455748,0.0187178945,0.041588881,"RCP 2.6","X1"
2035,0.02979040196,0.018728668,0.0416082665,"RCP 2.6","X1"
2036,0.02980269712,0.0187372275,0.04162999,"RCP 2.6","X1"
2037,0.02980007496,0.0187368265,0.0416301885,"RCP 2.6","X1"
2038,0.02982058684,0.0187511475,0.0416548975,"RCP 2.6","X1"
2039,0.02985198012,0.0187701015,0.0416943355,"RCP 2.6","X1"
2040,0.0298666104,0.0187772025,0.041714138,"RCP 2.6","X1"
2041,0.02985017648,0.0187668735,0.0417005465,"RCP 2.6","X1"
2042,0.02978126248,0.0187251415,0.04160992,"RCP 2.6","X1"
2043,0.02983588072,0.0187614725,0.04166094,"RCP 2.6","X1"
2044,0.02990260732,0.018798059,0.0417530435,"RCP 2.6","X1"
2045,0.02991309348,0.0188007295,0.041777816,"RCP 2.6","X1"
2046,0.02991039444,0.0187997465,0.041769109,"RCP 2.6","X1"
2047,0.02986113248,0.0187713755,0.041709446,"RCP 2.6","X1"
2048,0.02980313524,0.0187406755,0.0416338925,"RCP 2.6","X1"
2049,0.0298126488,0.018749373,0.0416369665,"RCP 2.6","X1"
2050,0.02984199732,0.018763799,0.0416777815,"RCP 2.6","X1"
2051,0.02984763932,0.018762051,0.041689905,"RCP 2.6","X1"
2052,0.02989841932,0.0187932715,0.041755222,"RCP 2.6","X1"
2053,0.0298726584,0.018777393,0.0417336075,"RCP 2.6","X1"
2054,0.029803894,0.0187382235,0.0416410655,"RCP 2.6","X1"
2055,0.02981602896,0.018749402,0.041637555,"RCP 2.6","X1"
2056,0.02985516856,0.0187722335,0.041694204,"RCP 2.6","X1"
2057,0.0298635372,0.018775799,0.0417175795,"RCP 2.6","X1"
2058,0.02989684888,0.0187968135,0.0417569725,"RCP 2.6","X1"
2059,0.02990555292,0.01879928,0.041764812,"RCP 2.6","X1"
2060,0.02987402732,0.0187782925,0.0417262905,"RCP 2.6","X1"
2061,0.0298848488,0.018789712,0.0417408365,"RCP 2.6","X1"
2062,0.02987123044,0.0187814745,0.041728116,"RCP 2.6","X1"
2063,0.02982936332,0.018755028,0.0416693595,"RCP 2.6","X1"
2064,0.02991951672,0.0188138945,0.041772211,"RCP 2.6","X1"
2065,0.02997433112,0.018840701,0.0418506425,"RCP 2.6","X1"
2066,0.02984184744,0.0187520325,0.0416971405,"RCP 2.6","X1"
2067,0.02974593028,0.018702775,0.041565802,"RCP 2.6","X1"
2068,0.02986666628,0.0187889645,0.0417002895,"RCP 2.6","X1"
2069,0.02999650952,0.0188605775,0.0418697375,"RCP 2.6","X1"
2070,0.02998711864,0.0188427195,0.0418806665,"RCP 2.6","X1"
2071,0.02992033256,0.018804613,0.0418010845,"RCP 2.6","X1"
2072,0.02991754788,0.0188105255,0.041780504,"RCP 2.6","X1"
2073,0.02996717484,0.018838908,0.0418276365,"RCP 2.6","X1"
2074,0.02993422628,0.018810414,0.04179414,"RCP 2.6","X1"
